inBedroomShape,center_x1,center_y1,center_z1,size_x1,size_y1,size_z1
http://example.org/virtualhome2kg/instance/shape_state0_bed112_relax_on_bed_scene1,-1.006774E1,2.999302E-1,-5.5E0,2.401005E0,5.527217E-1,1.99172E0
http://example.org/virtualhome2kg/instance/shape_state0_book193_relax_on_bed_scene1,-7.295138E0,1.149397E0,-1.975489E0,3.816578E-1,4.543643E-2,3.45279E-1
http://example.org/virtualhome2kg/instance/shape_state0_book194_relax_on_bed_scene1,-7.551784E0,1.243914E0,-1.96985E0,8.891892E-2,2.368897E-1,1.875108E-1
http://example.org/virtualhome2kg/instance/shape_state0_bookshelf108_relax_on_bed_scene1,-7.610001E0,1.108E0,-1.973001E0,2.114E0,2.216E0,3.199997E-1
http://example.org/virtualhome2kg/instance/shape_state0_box195_relax_on_bed_scene1,-7.867701E0,6.663102E-1,-1.965E0,4.056358E-1,1.946234E-1,2.799484E-1
http://example.org/virtualhome2kg/instance/shape_state0_candle184_relax_on_bed_scene1,-7.72E0,3.195807E-1,-5.142E0,8.275755E-2,1.371618E-1,8.275796E-2
http://example.org/virtualhome2kg/instance/shape_state0_ceiling100_relax_on_bed_scene1,-5.109991E0,2.5E0,-8.0E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceiling101_relax_on_bed_scene1,-5.109992E0,2.5E0,-5.5E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceiling102_relax_on_bed_scene1,-5.109992E0,2.5E0,-3.0E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceiling94_relax_on_bed_scene1,-1.010999E1,2.5E0,-8.0E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceiling95_relax_on_bed_scene1,-1.010999E1,2.5E0,-5.5E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceiling96_relax_on_bed_scene1,-1.010999E1,2.5E0,-3.0E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceiling97_relax_on_bed_scene1,-7.609992E0,2.5E0,-3.0E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceiling98_relax_on_bed_scene1,-7.609991E0,2.5E0,-5.5E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceiling99_relax_on_bed_scene1,-7.609991E0,2.5E0,-8.0E0,2.5E0,9.059906E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_ceilinglamp103_relax_on_bed_scene1,-7.61E0,2.227675E0,-5.5E0,5.316591E-1,5.451052E-1,5.316591E-1
http://example.org/virtualhome2kg/instance/shape_state0_cellphone191_relax_on_bed_scene1,-7.117042E0,2.532E-1,-4.995837E0,5.624962E-2,2.0E-2,1.374998E-1
http://example.org/virtualhome2kg/instance/shape_state0_cellphone205_relax_on_bed_scene1,-7.691E0,2.525E-1,-5.96E0,5.799961E-2,1.443684E-2,1.099997E-1
http://example.org/virtualhome2kg/instance/shape_state0_chair110_relax_on_bed_scene1,-5.033001E0,7.81E-1,-7.48E0,6.341001E-1,1.3277E0,6.29E-1
http://example.org/virtualhome2kg/instance/shape_state0_chair113_relax_on_bed_scene1,-1.07661E1,6.17E-1,-2.323264E0,9.520716E-1,1.0489E0,2.940714E-3
http://example.org/virtualhome2kg/instance/shape_state0_character1_relax_on_bed_scene1,-9.222996E0,2.121052E0,-3.101721E0,1.408763E0,1.869719E0,1.17485E0
http://example.org/virtualhome2kg/instance/shape_state0_closet115_relax_on_bed_scene1,-9.029008E0,1.182522E0,-8.869999E0,1.499731E0,2.365245E0,6.238708E-1
http://example.org/virtualhome2kg/instance/shape_state0_closet130_relax_on_bed_scene1,-1.053401E1,1.182522E0,-8.869999E0,1.499729E0,2.365245E0,6.238708E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer123_relax_on_bed_scene1,-8.777999E0,9.282225E-1,-8.865399E0,9.4775E-1,2.004483E-1,5.653767E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer124_relax_on_bed_scene1,-9.524599E0,6.993225E-1,-8.869997E0,4.592895E-1,2.004465E-1,5.653756E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer125_relax_on_bed_scene1,-9.525E0,4.702225E-1,-8.869997E0,4.592895E-1,2.004465E-1,5.653756E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer126_relax_on_bed_scene1,-8.777999E0,6.982225E-1,-8.864999E0,9.4775E-1,2.004483E-1,5.653767E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer127_relax_on_bed_scene1,-8.777999E0,4.675225E-1,-8.864999E0,9.4775E-1,2.004483E-1,5.653767E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer128_relax_on_bed_scene1,-9.525E0,2.395225E-1,-8.869997E0,4.592895E-1,2.004465E-1,5.653756E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer129_relax_on_bed_scene1,-8.777999E0,2.388225E-1,-8.864999E0,9.4775E-1,2.004483E-1,5.653767E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer150_relax_on_bed_scene1,-1.0283E1,9.282225E-1,-8.865399E0,9.4775E-1,2.004483E-1,5.653767E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer153_relax_on_bed_scene1,-1.10296E1,6.993225E-1,-8.869997E0,4.592895E-1,2.004465E-1,5.653756E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer155_relax_on_bed_scene1,-1.103E1,4.702225E-1,-8.869997E0,4.592895E-1,2.004465E-1,5.653756E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer157_relax_on_bed_scene1,-1.0283E1,6.982225E-1,-8.865E0,9.4775E-1,2.004483E-1,5.653767E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer161_relax_on_bed_scene1,-1.0283E1,4.675225E-1,-8.865E0,9.4775E-1,2.004483E-1,5.653767E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer165_relax_on_bed_scene1,-1.103E1,2.395225E-1,-8.869997E0,4.592895E-1,2.004465E-1,5.653756E-1
http://example.org/virtualhome2kg/instance/shape_state0_closetdrawer167_relax_on_bed_scene1,-1.0283E1,2.388225E-1,-8.865E0,9.4775E-1,2.004483E-1,5.653767E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespants134_relax_on_bed_scene1,-1.007262E1,1.505404E0,-8.87794E0,5.335045E-2,6.125164E-1,2.970524E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespants138_relax_on_bed_scene1,-1.016442E1,1.4993E0,-8.856899E0,6.041908E-2,6.399493E-1,2.601814E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespants140_relax_on_bed_scene1,-9.895618E0,1.505404E0,-8.884941E0,5.335045E-2,6.125164E-1,2.970524E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespants142_relax_on_bed_scene1,-9.980618E0,1.561518E0,-8.881941E0,4.903412E-2,4.929554E-1,1.787071E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespants144_relax_on_bed_scene1,-1.024844E1,1.479635E0,-8.861898E0,6.27079E-2,6.873965E-1,2.792187E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile151_relax_on_bed_scene1,-1.0504E1,9.212562E-1,-8.876399E0,3.371372E-1,1.625134E-1,4.531212E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile152_relax_on_bed_scene1,-1.0128E1,9.127557E-1,-8.8764E0,3.05727E-1,1.495124E-1,4.137917E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile154_relax_on_bed_scene1,-1.1032E1,6.767801E-1,-8.835999E0,3.8867E-1,1.345612E-1,2.991486E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile156_relax_on_bed_scene1,-1.10316E1,4.32115E-1,-8.835999E0,3.860359E-1,1.018308E-1,2.951641E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile158_relax_on_bed_scene1,-1.0581E1,6.66928E-1,-8.875998E0,2.300072E-1,1.178569E-1,3.184299E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile159_relax_on_bed_scene1,-1.0301E1,6.66928E-1,-8.872E0,2.410564E-1,1.178569E-1,3.262253E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile160_relax_on_bed_scene1,-1.0023E1,6.66928E-1,-8.884E0,2.509842E-1,1.178569E-1,3.330498E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile162_relax_on_bed_scene1,-1.0029E1,4.425801E-1,-8.88E0,2.751541E-1,1.345611E-1,3.724136E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile163_relax_on_bed_scene1,-1.0295E1,4.425801E-1,-8.907999E0,2.691784E-1,1.345611E-1,3.68227E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile164_relax_on_bed_scene1,-1.0574E1,4.425801E-1,-8.873999E0,2.638798E-1,1.345612E-1,3.644714E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile166_relax_on_bed_scene1,-1.1032E1,1.949154E-1,-8.835999E0,3.790035E-1,8.876744E-2,3.854942E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile168_relax_on_bed_scene1,-1.0602E1,2.001755E-1,-8.791999E0,2.018909E-1,1.011517E-1,2.764797E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile169_relax_on_bed_scene1,-1.0392E1,2.001755E-1,-8.794999E0,1.811218E-1,1.011517E-1,2.86623E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile170_relax_on_bed_scene1,-1.0179E1,2.001755E-1,-8.84E0,2.085648E-1,1.011517E-1,2.811489E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothespile171_relax_on_bed_scene1,-9.969999E0,1.943418E-1,-8.801E0,1.983623E-1,8.908415E-2,2.739792E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothesshirt132_relax_on_bed_scene1,-1.067092E1,1.526697E0,-8.882997E0,5.330361E-2,7.375672E-1,5.795156E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothesshirt136_relax_on_bed_scene1,-1.052692E1,1.506346E0,-8.882998E0,1.097302E-1,8.035693E-1,5.797602E-1
http://example.org/virtualhome2kg/instance/shape_state0_clothesshirt146_relax_on_bed_scene1,-1.039349E1,1.559445E0,-8.867257E0,7.353179E-2,6.939647E-1,5.69246E-1
http://example.org/virtualhome2kg/instance/shape_state0_coffeetable114_relax_on_bed_scene1,-7.338001E0,1.219992E-1,-5.52E0,1.280265E0,2.440028E-1,1.280266E0
http://example.org/virtualhome2kg/instance/shape_state0_computer177_relax_on_bed_scene1,-4.622503E0,3.495907E-1,-6.789999E0,6.713864E-1,6.991823E-1,2.457483E-1
http://example.org/virtualhome2kg/instance/shape_state0_cpuscreen178_relax_on_bed_scene1,-4.385697E0,1.217938E0,-7.529998E0,2.078123E-1,4.878771E-1,7.4128E-1
http://example.org/virtualhome2kg/instance/shape_state0_cupcake198_relax_on_bed_scene1,-4.677E0,1.026654E0,-6.892999E0,1.182597E-1,1.288959E-1,1.182594E-1
http://example.org/virtualhome2kg/instance/shape_state0_cupcake199_relax_on_bed_scene1,-4.574E0,1.010186E0,-6.829999E0,9.984732E-2,9.922324E-2,9.988429E-2
http://example.org/virtualhome2kg/instance/shape_state0_curtains186_relax_on_bed_scene1,-1.126756E1,2.017886E0,-5.499883E0,2.599335E-2,3.339481E-2,2.328011E0
http://example.org/virtualhome2kg/instance/shape_state0_curtains187_relax_on_bed_scene1,-1.123901E1,1.457548E0,-6.28701E0,1.07338E-1,1.152326E0,5.931841E-1
http://example.org/virtualhome2kg/instance/shape_state0_curtains188_relax_on_bed_scene1,-1.124201E1,1.457548E0,-4.723999E0,1.073381E-1,1.152326E0,5.931841E-1
http://example.org/virtualhome2kg/instance/shape_state0_desk111_relax_on_bed_scene1,-4.468E0,4.75E-1,-7.5E0,1.067999E0,9.5E-1,2.028E0
http://example.org/virtualhome2kg/instance/shape_state0_doorjamb172_relax_on_bed_scene1,-3.860357E0,1.029126E0,-5.499996E0,1.223233E-1,2.058256E0,9.283974E-1
http://example.org/virtualhome2kg/instance/shape_state0_floor76_relax_on_bed_scene1,-1.011E1,0.0E0,-8.0E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_floor77_relax_on_bed_scene1,-1.011E1,0.0E0,-5.5E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_floor78_relax_on_bed_scene1,-1.011E1,0.0E0,-3.0E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_floor79_relax_on_bed_scene1,-7.610001E0,0.0E0,-3.0E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_floor80_relax_on_bed_scene1,-7.61E0,0.0E0,-5.5E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_floor81_relax_on_bed_scene1,-7.61E0,0.0E0,-8.0E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_floor82_relax_on_bed_scene1,-5.11E0,0.0E0,-8.0E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_floor83_relax_on_bed_scene1,-5.110001E0,0.0E0,-5.5E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_floor84_relax_on_bed_scene1,-5.110001E0,0.0E0,-3.0E0,2.5E0,9.049975E-6,2.5E0
http://example.org/virtualhome2kg/instance/shape_state0_folder206_relax_on_bed_scene1,-6.883E0,1.293E0,-2.004001E0,7.863426E-2,3.19757E-1,2.820988E-1
http://example.org/virtualhome2kg/instance/shape_state0_folder207_relax_on_bed_scene1,-6.993001E0,1.292E0,-2.008001E0,1.176023E-1,3.19757E-1,2.893705E-1
http://example.org/virtualhome2kg/instance/shape_state0_garbagecan106_relax_on_bed_scene1,-3.610002E0,2.65972E-1,-3.660001E0,3.330002E-1,4.2E-1,3.330002E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger116_relax_on_bed_scene1,-9.141001E0,1.905119E0,-8.869957E0,1.504517E-2,2.411163E-1,4.697247E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger117_relax_on_bed_scene1,-9.014001E0,1.905119E0,-8.869957E0,4.737282E-2,2.411163E-1,4.696445E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger118_relax_on_bed_scene1,-8.916E0,1.905119E0,-8.869957E0,1.504517E-2,2.411163E-1,4.697247E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger119_relax_on_bed_scene1,-8.814001E0,1.905119E0,-8.869957E0,4.357147E-2,2.411163E-1,4.697704E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger120_relax_on_bed_scene1,-8.713942E0,1.905119E0,-8.873959E0,4.179001E-2,2.411163E-1,4.698181E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger121_relax_on_bed_scene1,-8.44305E0,1.905119E0,-8.88096E0,3.750038E-2,2.411163E-1,4.699059E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger122_relax_on_bed_scene1,-8.58705E0,1.905119E0,-8.888959E0,3.750038E-2,2.411163E-1,4.699059E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger131_relax_on_bed_scene1,-1.067075E1,1.905119E0,-8.869957E0,2.409744E-2,2.411163E-1,4.699268E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger133_relax_on_bed_scene1,-1.007096E1,1.905119E0,-8.877958E0,3.215599E-2,2.411163E-1,4.699612E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger135_relax_on_bed_scene1,-1.052555E1,1.905119E0,-8.869705E0,7.001877E-2,2.411163E-1,4.682484E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger137_relax_on_bed_scene1,-1.016607E1,1.905119E0,-8.85696E0,4.41227E-2,2.411163E-1,4.697533E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger139_relax_on_bed_scene1,-9.893963E0,1.905119E0,-8.884959E0,3.215599E-2,2.411163E-1,4.699612E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger141_relax_on_bed_scene1,-9.978963E0,1.905119E0,-8.881959E0,3.215599E-2,2.411163E-1,4.699612E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger143_relax_on_bed_scene1,-1.025005E1,1.905119E0,-8.86177E0,4.042625E-2,2.411163E-1,4.698505E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger145_relax_on_bed_scene1,-1.038986E1,1.905119E0,-8.854398E0,4.103661E-2,2.411163E-1,4.698372E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger147_relax_on_bed_scene1,-1.093798E1,1.905119E0,-8.864956E0,5.384636E-2,2.411163E-1,4.693584E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger148_relax_on_bed_scene1,-1.099491E1,1.905119E0,-8.85996E0,4.218864E-2,2.411163E-1,4.698086E-1
http://example.org/virtualhome2kg/instance/shape_state0_hanger149_relax_on_bed_scene1,-1.110894E1,1.905119E0,-8.852957E0,7.124901E-2,2.411163E-1,4.681396E-1
http://example.org/virtualhome2kg/instance/shape_state0_keyboard175_relax_on_bed_scene1,-4.766E0,9.795669E-1,-7.499999E0,2.216363E-1,4.913636E-2,7.071992E-1
http://example.org/virtualhome2kg/instance/shape_state0_lightswitch176_relax_on_bed_scene1,-3.912552E0,1.204E0,-6.107999E0,5.105688E-3,9.363715E-2,6.867787E-2
http://example.org/virtualhome2kg/instance/shape_state0_mouse173_relax_on_bed_scene1,-4.704942E0,9.840968E-1,-8.11993E0,2.089974E-1,4.025071E-2,1.720314E-1
http://example.org/virtualhome2kg/instance/shape_state0_mousemat174_relax_on_bed_scene1,-4.730001E0,9.584852E-1,-8.110999E0,4.324622E-1,7.165432E-3,4.369305E-1
http://example.org/virtualhome2kg/instance/shape_state0_mug197_relax_on_bed_scene1,-4.872979E0,1.004687E0,-6.929179E0,1.343282E-1,9.95673E-2,1.48729E-1
http://example.org/virtualhome2kg/instance/shape_state0_nightstand107_relax_on_bed_scene1,-1.0891E1,2.65E-1,-6.948E0,7.479998E-1,4.84E-1,7.480001E-1
http://example.org/virtualhome2kg/instance/shape_state0_nightstand109_relax_on_bed_scene1,-1.0891E1,2.65E-1,-4.058001E0,7.479998E-1,4.84E-1,7.480001E-1
http://example.org/virtualhome2kg/instance/shape_state0_orchid185_relax_on_bed_scene1,-7.365001E0,3.469921E-1,-5.511001E0,3.40818E-1,1.939848E-1,3.40818E-1
http://example.org/virtualhome2kg/instance/shape_state0_photoframe192_relax_on_bed_scene1,-7.770784E0,1.781263E0,-1.994512E0,1.750866E-1,2.125286E-1,1.407832E-1
http://example.org/virtualhome2kg/instance/shape_state0_pillow189_relax_on_bed_scene1,-1.080915E1,5.643889E-1,-5.038599E0,7.522613E-1,2.025436E-1,8.569639E-1
http://example.org/virtualhome2kg/instance/shape_state0_pillow190_relax_on_bed_scene1,-1.079448E1,5.68114E-1,-5.885573E0,7.737437E-1,2.025436E-1,8.741703E-1
http://example.org/virtualhome2kg/instance/shape_state0_plate196_relax_on_bed_scene1,-4.614E0,9.645295E-1,-6.871999E0,3.529105E-1,2.335932E-2,3.529106E-1
http://example.org/virtualhome2kg/instance/shape_state0_plate202_relax_on_bed_scene1,-7.722001E0,2.518921E-1,-5.137E0,1.780378E-1,1.178441E-2,1.780378E-1
http://example.org/virtualhome2kg/instance/shape_state0_radio179_relax_on_bed_scene1,-7.867894E0,1.220461E0,-1.991692E0,3.050003E-1,1.886926E-1,1.82547E-1
http://example.org/virtualhome2kg/instance/shape_state0_rug180_relax_on_bed_scene1,-9.813001E0,1.22675E-2,-5.5E0,2.954861E0,2.454547E-2,3.849833E0
http://example.org/virtualhome2kg/instance/shape_state0_slippers203_relax_on_bed_scene1,-9.960985E0,5.761622E-2,-6.732131E0,3.287678E-1,6.463289E-2,3.653688E-1
http://example.org/virtualhome2kg/instance/shape_state0_slippers204_relax_on_bed_scene1,-1.011924E1,6.774192E-2,-4.295422E0,3.63163E-1,7.181436E-2,4.041739E-1
http://example.org/virtualhome2kg/instance/shape_state0_tablelamp104_relax_on_bed_scene1,-1.0863E1,8.004272E-1,-6.953E0,3.439865E-1,5.775015E-1,3.553495E-1
http://example.org/virtualhome2kg/instance/shape_state0_tablelamp105_relax_on_bed_scene1,-1.0782E1,8.004272E-1,-4.061E0,3.16288E-1,5.775013E-1,3.312798E-1
http://example.org/virtualhome2kg/instance/shape_state0_wall85_relax_on_bed_scene1,-7.609995E0,1.25E0,-9.22E0,2.500009E0,2.500009E0,6.0001E-2
http://example.org/virtualhome2kg/instance/shape_state0_wall86_relax_on_bed_scene1,-7.610005E0,1.25E0,-1.78E0,2.500009E0,2.500009E0,6.000078E-2
http://example.org/virtualhome2kg/instance/shape_state0_wall87_relax_on_bed_scene1,-1.133E1,1.249993E0,-5.500009E0,5.999708E-2,2.500026E0,2.500018E0
http://example.org/virtualhome2kg/instance/shape_state0_wall88_relax_on_bed_scene1,-1.011E1,1.25E0,-7.999998E0,2.500004E0,2.500009E0,2.500004E0
http://example.org/virtualhome2kg/instance/shape_state0_wall89_relax_on_bed_scene1,-1.011E1,1.25E0,-3.0E0,2.500004E0,2.500009E0,2.500004E0
http://example.org/virtualhome2kg/instance/shape_state0_wall90_relax_on_bed_scene1,-5.110002E0,1.25E0,-7.999999E0,2.500004E0,2.500009E0,2.500004E0
http://example.org/virtualhome2kg/instance/shape_state0_wall91_relax_on_bed_scene1,-3.889999E0,1.249996E0,-5.499995E0,6.000417E-2,2.50001E0,2.500009E0
http://example.org/virtualhome2kg/instance/shape_state0_wall92_relax_on_bed_scene1,-5.110001E0,1.250009E0,-2.999986E0,2.500001E0,2.500028E0,2.500046E0
http://example.org/virtualhome2kg/instance/shape_state0_wallpictureframe181_relax_on_bed_scene1,-3.937128E0,1.25E0,-3.453E0,4.826038E-2,1.105301E0,2.575831E0
http://example.org/virtualhome2kg/instance/shape_state0_wallpictureframe182_relax_on_bed_scene1,-6.170998E0,1.25E0,-9.17814E0,9.55635E-1,1.257047E0,4.172394E-2
http://example.org/virtualhome2kg/instance/shape_state0_wallpictureframe183_relax_on_bed_scene1,-9.697001E0,1.25E0,-1.81986E0,9.55635E-1,1.257047E0,4.172206E-2
http://example.org/virtualhome2kg/instance/shape_state0_window93_relax_on_bed_scene1,-1.135993E1,1.5E0,-5.500001E0,1.137481E-1,1.024505E0,2.112548E0
http://example.org/virtualhome2kg/instance/shape_state0_wineglass200_relax_on_bed_scene1,-7.023126E0,3.407053E-1,-5.904057E0,8.954636E-2,1.902101E-1,8.954637E-2
http://example.org/virtualhome2kg/instance/shape_state0_wineglass201_relax_on_bed_scene1,-7.217309E0,3.407053E-1,-5.763011E0,8.954636E-2,1.902101E-1,8.954637E-2
http://example.org/virtualhome2kg/instance/shape_state1_bookshelf108_relax_on_bed_scene1,-7.610001E0,1.108E0,-1.973001E0,2.114E0,2.216E0,3.199997E-1
http://example.org/virtualhome2kg/instance/shape_state1_bed112_relax_on_bed_scene1,-1.006774E1,2.999302E-1,-5.5E0,2.401005E0,5.527217E-1,1.99172E0
http://example.org/virtualhome2kg/instance/shape_state1_book194_relax_on_bed_scene1,-7.551784E0,1.243914E0,-1.96985E0,8.891892E-2,2.368897E-1,1.875108E-1
http://example.org/virtualhome2kg/instance/shape_state1_box195_relax_on_bed_scene1,-7.867701E0,6.663102E-1,-1.965E0,4.056358E-1,1.946234E-1,2.799484E-1
http://example.org/virtualhome2kg/instance/shape_state1_chair113_relax_on_bed_scene1,-1.07661E1,6.17E-1,-2.323264E0,9.520716E-1,1.0489E0,2.940714E-3
http://example.org/virtualhome2kg/instance/shape_state1_photoframe192_relax_on_bed_scene1,-7.770784E0,1.781263E0,-1.994512E0,1.750866E-1,2.125286E-1,1.407832E-1
http://example.org/virtualhome2kg/instance/shape_state1_radio179_relax_on_bed_scene1,-7.867894E0,1.220461E0,-1.991692E0,3.050003E-1,1.886926E-1,1.82547E-1
http://example.org/virtualhome2kg/instance/shape_state1_tablelamp105_relax_on_bed_scene1,-1.0782E1,8.004272E-1,-4.061E0,3.16288E-1,5.775013E-1,3.312798E-1
http://example.org/virtualhome2kg/instance/shape_state1_nightstand109_relax_on_bed_scene1,-1.0891E1,2.65E-1,-4.058001E0,7.479998E-1,4.84E-1,7.480001E-1
http://example.org/virtualhome2kg/instance/shape_state1_wallpictureframe183_relax_on_bed_scene1,-9.697001E0,1.25E0,-1.81986E0,9.55635E-1,1.257047E0,4.172206E-2
